"","var1","var2","var3","var4","var5","var6","var7","var8"
"3922","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"3923","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"3924","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"3925","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","1 year"
"3926","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","25 years"
"3927","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","7 years"
"3928","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","1 year"
"3929","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","25 years"
"3930","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","7 years"
"3931","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","1 year"
"3932","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","25 years"
"3933","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","7 years"
"3934","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","1 year"
"3935","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","25 years"
"3936","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","7 years"
"3937","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","1 year"
"3938","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","25 years"
"3939","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","7 years"
"3940","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","1 year"
"3941","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","25 years"
"3942","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","7 years"
"3943","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"3944","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"3945","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"3946","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"3947","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"3948","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"3949","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"3950","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"3951","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"3952","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","1 year"
"3953","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","25 years"
"3954","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","7 years"
"3955","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","1 year"
"3956","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","25 years"
"3957","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","7 years"
"3958","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","1 year"
"3959","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","25 years"
"3960","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","7 years"
"3961","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","1 year"
"3962","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","25 years"
"3963","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","7 years"
"3964","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","1 year"
"3965","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","25 years"
"3966","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","7 years"
"3967","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","1 year"
"3968","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","25 years"
"3969","local association","unemployment and poverty","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","7 years"
"3970","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"3971","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"3972","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"3973","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"3974","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"3975","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"3976","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"3977","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"3978","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"3979","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","environment and climate change","1 year"
"3980","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","environment and climate change","25 years"
"3981","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","environment and climate change","7 years"
"3982","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","political and cultural rights","1 year"
"3983","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","political and cultural rights","25 years"
"3984","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","political and cultural rights","7 years"
"3985","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","unemployment and poverty","1 year"
"3986","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","unemployment and poverty","25 years"
"3987","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local association","unemployment and poverty","7 years"
"3988","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","1 year"
"3989","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","25 years"
"3990","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","7 years"
"3991","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","1 year"
"3992","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","25 years"
"3993","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","7 years"
"3994","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","1 year"
"3995","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","25 years"
"3996","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","7 years"
"3997","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"3998","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"3999","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"4000","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"4001","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"4002","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"4003","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"4004","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"4005","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"4006","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","1 year"
"4007","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","25 years"
"4008","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","7 years"
"4009","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","1 year"
"4010","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","25 years"
"4011","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","7 years"
"4012","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","1 year"
"4013","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","25 years"
"4014","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","7 years"
"4015","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","1 year"
"4016","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","25 years"
"4017","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","7 years"
"4018","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","1 year"
"4019","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","25 years"
"4020","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","7 years"
"4021","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","1 year"
"4022","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","25 years"
"4023","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","7 years"
"4024","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"4025","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"4026","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"4027","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"4028","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"4029","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"4030","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"4031","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"4032","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"4033","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","environment and climate change","1 year"
"4034","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","environment and climate change","25 years"
"4035","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","environment and climate change","7 years"
"4036","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","1 year"
"4037","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","25 years"
"4038","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","7 years"
"4039","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","1 year"
"4040","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","25 years"
"4041","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","7 years"
"4042","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","1 year"
"4043","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","25 years"
"4044","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","7 years"
"4045","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","1 year"
"4046","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","25 years"
"4047","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","7 years"
"4048","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","1 year"
"4049","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","25 years"
"4050","local association","unemployment and poverty","25 years","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","7 years"
"4051","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"4052","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"4053","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"4054","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"4055","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"4056","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"4057","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"4058","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"4059","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"4060","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","environment and climate change","1 year"
"4061","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","environment and climate change","25 years"
"4062","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","environment and climate change","7 years"
"4063","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","political and cultural rights","1 year"
"4064","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","political and cultural rights","25 years"
"4065","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","political and cultural rights","7 years"
"4066","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","unemployment and poverty","1 year"
"4067","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","unemployment and poverty","25 years"
"4068","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","unemployment and poverty","7 years"
"4069","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","1 year"
"4070","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","25 years"
"4071","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","7 years"
"4072","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","1 year"
"4073","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","25 years"
"4074","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","7 years"
"4075","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","1 year"
"4076","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","25 years"
"4077","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","7 years"
"4078","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"4079","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"4080","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"4081","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"4082","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"4083","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"4084","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"4085","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"4086","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"4087","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","1 year"
"4088","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","25 years"
"4089","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","7 years"
"4090","local association","unemployment and poverty","25 years","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","1 year"
